text,label
Do U know what Meds are R for bipolar depression? Currently #FDA approved #quetiapine AKA #Seroquel,False
# hypercholesterol: Because of elevated CKs (peaked at 819) the patient's Simvastatin was discontinued.,True
"Her weight, respirtory status and I/O should be monitored and lasix titrated at rehab.",False
* DM - Pt had several episodes of hypoglycemia on lantus due to decreasing oral intake.,True
We report the case of a female acromegalic patient in whom multiple hepatic adenomas appeared soon after danazol treatment for uterine fibromatosis.,True
2 . Calcipotriene 0.005% Cream Sig: One (1) Appl Topical [**Hospital1 *] (2 times a day ),False
"Always tired, and possible blood clots. I was on Voltaren for about 4 years and all of the sudden had a minor stroke and had blood clots that traveled to my eye. I had every test in the book done at the hospital, and they couldnt find anything. I was completley healthy! I am thinking it was from the voltaren. I have been off of the drug for 8 months now, and have never felt better. I started eating healthy and working out and that has help alot. I can now sleep all thru the night. I wont take this again. If I have the back pain, I will pop a tylonol instead.",True
"A difference in chemical structure between these two drugs, particularly of a sulfur moiety, may help explain why the drug-induced disease did not recur.",False
10 . She was left on prednisone 20mg qd due to high sensitivity to her donor.,False
"The authors suggest that risperidone may increase affect in patients with schizophrenia and that some patients, especially those with anxiety, may have difficulty managing the increase.",True
- Per oral maxillofacial surgery there is no evidence of a current dental abcess or dental infection - All antibiotics except voriconazole were stopped and patient was stable for two days prior to discharge.,False
@marionjross Cipro is just as bad! Stay away from fluoroquinolones if at all possible. They're trouble waiting to happen.,False
A young woman with epilepsy had tonic-clonic seizures during antineoplastic therapy with adriamycin and cisplatin.,True
Intravenous methotrexate is an effective adjunct to steroid therapy in the treatment of steroid-resistant or life-threatening dermatomyositis-polyositis or dermatomyositis-polymyositis complicated by severe steroid-related effects.,False
PURPOSE: To report new indocyanine green angiographic (ICGA) findings after intravitreal bevacizumab (IVB) for myopic choroidal neovascularization (mCNV).,False
2 . Docusate Sodium 50 mg/5 mL Liquid [**Hospital1 *]: One (1) PO BID (2 times a day ),False
consider neupogen.,False
He was treated allopurinol and Rasburicase for TLS with good resolution as well as with CVVH initially (1 day) for fluid removal.,False
